"filename", "language", "C#", "TypeScript", "HTML", "PostCSS", "comment", "blank", "total"
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_forms/text-input/text-input.component.html", "HTML", 0, 0, 23, 0, 0, 5, 28
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_forms/text-input/text-input.component.ts", "TypeScript", 0, 22, 0, 0, 0, 2, 24
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_guards/auth.guard.ts", "TypeScript", 0, 30, 0, 0, 0, 3, 33
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_guards/prevent-unsaved-changes.guard.ts", "TypeScript", 0, 17, 0, 0, 0, 2, 19
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_inerceptors/error.interceptor.ts", "TypeScript", 0, 79, 0, 0, 0, 7, 86
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_inerceptors/jwt.interceptor.ts", "TypeScript", 0, 27, 0, 0, 0, 3, 30
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_inerceptors/loading.interceptor.ts", "TypeScript", 0, 21, 0, 0, 0, 3, 24
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_models/member.ts", "TypeScript", 0, 17, 0, 0, 0, 2, 19
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_models/message.ts", "TypeScript", 0, 12, 0, 0, 0, 1, 13
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_models/pagination.ts", "TypeScript", 0, 10, 0, 0, 0, 2, 12
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_models/photo.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_models/user.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_modules/shared.module.ts", "TypeScript", 0, 27, 0, 0, 0, 2, 29
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_modules/userParams.ts", "TypeScript", 0, 11, 0, 0, 0, 3, 14
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_pipes/time-ago.pipe.ts", "TypeScript", 0, 30, 0, 0, 0, 7, 37
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_resolvers/member-detailed.resolver.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 17
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_services/account.service.ts", "TypeScript", 0, 42, 0, 0, 0, 7, 49
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_services/busy.service.ts", "TypeScript", 0, 26, 0, 0, 0, 5, 31
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_services/members.service.ts", "TypeScript", 0, 99, 0, 0, 0, 17, 116
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_services/message.service.ts", "TypeScript", 0, 35, 0, 0, 0, 7, 42
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_services/paginationHelper.ts", "TypeScript", 0, 23, 0, 0, 0, 5, 28
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/_services/photo.service.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/admin/admin-panel/admin-panel.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/admin/admin-panel/admin-panel.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
