"filename", "language", "C#", "comment", "blank", "total"
"/home/ash/FriendshipApp/FriendshipApp1/API/Controllers/UsersController.cs", "C#", -1, 0, 0, -1
"/home/ash/FriendshipApp/FriendshipApp1/API/Extensions/IdentityServiceExtensions.cs", "C#", 8, 0, 1, 9
"Total", "-", 7, 0, 1, 8
