"filename", "language", "HTML", "TypeScript", "comment", "blank", "total"
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/admin/user-management/user-management.component.ts", "TypeScript", 0, 29, 0, 1, 30
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/modals/roles-modal/roles-modal.component.html", "HTML", -1, 0, 0, 1, 0
"/home/ash/FriendshipApp/FriendshipApp1/client/src/app/modals/roles-modal/roles-modal.component.ts", "TypeScript", 0, -1, 0, 0, -1
"Total", "-", -1, 28, 0, 2, 29
